City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
106,Arawa,PG,2022-05-23 02:35:44,-6.2132,155.5367,86.65,64,29,5.26,scattered clouds
107,Paso De Los Toros,UY,2022-05-23 02:35:44,-32.8167,-56.5167,50.22,91,10,7.96,clear sky
108,Saskylakh,RU,2022-05-23 02:35:44,71.9167,114.0833,33.22,97,100,10.2,overcast clouds
109,Ushuaia,AR,2022-05-23 02:35:45,-54.8,-68.3,33.46,80,0,4.61,clear sky
110,Alta Floresta,BR,2022-05-23 02:35:45,-9.8756,-56.0861,66.7,69,0,2.42,clear sky
111,Dikson,RU,2022-05-23 02:35:46,73.5069,80.5464,25.45,84,86,12.35,overcast clouds
112,Tasiilaq,GL,2022-05-23 02:35:46,65.6145,-37.6368,33.96,99,100,12.39,snow
113,Freeport,US,2022-05-23 02:35:46,40.6576,-73.5832,76.96,77,75,4.61,broken clouds
114,Santiago,CL,2022-05-23 02:35:47,-33.4569,-70.6483,64.26,62,100,5.75,overcast clouds
115,Ulladulla,AU,2022-05-23 02:35:47,-35.35,150.4667,60.76,78,100,4.63,light rain
116,Lavrentiya,RU,2022-05-23 02:35:48,65.5833,-171.0,40.21,79,99,2.82,overcast clouds
117,Alice Springs,AU,2022-05-23 02:35:48,-23.7,133.8833,69.35,32,51,9.22,broken clouds
118,Fortuna,US,2022-05-23 02:35:48,40.5982,-124.1573,54.93,91,100,13.8,overcast clouds
119,Ilulissat,GL,2022-05-23 02:35:49,69.2167,-51.1,32.02,100,100,2.3,overcast clouds
120,Ushtobe,KZ,2022-05-23 02:35:49,45.2514,77.9838,63.57,30,100,6.69,overcast clouds
121,Bunia,CD,2022-05-23 02:35:50,1.5667,30.25,62.85,89,100,1.63,overcast clouds
122,Dumingag,PH,2022-05-23 02:35:50,8.1692,123.3506,88.41,66,95,0.83,overcast clouds
123,North Platte,US,2022-05-23 02:35:50,41.1239,-100.7654,59.11,38,100,7.0,overcast clouds
124,Baglan,AF,2022-05-23 02:33:45,36.1307,68.7083,64.45,40,5,2.37,clear sky
125,Dudinka,RU,2022-05-23 02:35:51,69.4058,86.1778,33.62,91,100,11.14,overcast clouds
126,Luderitz,NA,2022-05-23 02:35:51,-26.6481,15.1594,59.97,57,16,6.49,few clouds
127,Hobart,AU,2022-05-23 02:35:52,-42.8794,147.3294,60.26,68,20,10.36,few clouds
128,Kudahuvadhoo,MV,2022-05-23 02:35:52,2.6708,72.8944,83.3,73,98,12.33,overcast clouds
129,Atuona,PF,2022-05-23 02:35:53,-9.8,-139.0333,79.11,73,28,18.48,scattered clouds
130,Port Alfred,ZA,2022-05-23 02:35:53,-33.5906,26.891,59.49,76,64,6.17,broken clouds
131,Kasungu,MW,2022-05-23 02:35:53,-13.0333,33.4833,62.74,76,98,2.89,overcast clouds
132,Bulgan,MN,2022-05-23 02:35:54,48.8125,103.5347,76.23,17,99,9.42,overcast clouds
133,Yar-Sale,RU,2022-05-23 02:35:54,66.8333,70.8333,37.63,88,99,28.39,overcast clouds
